ocr_test_index,query_id,reference_metadata_text,hi_en_ocr_text,en_only_ocr_text,gold_transcription,include_in_final_ocr_test,annotation_notes
105,hmx-0166,"Putin ne Israel ko warn kiya ki Iran mein jo hundreds Russian nuclear experts hain, woh wapas nahi jayenge.","२०. JUN. २५ Putin ne Israel ko warn kiya ki Iran mein jo hundreds Russian nuclear experts hain, woh wapas nahi jayenge. ० गा=् रा= INDIAINLSDAHN","20. JUN: 25 Putin ne Israel ko warn kiya ki Iran mein jo hundreds Russian nuclear experts hain, woh wapas nahi jayenge: 0 ZST 4WZI INDIAINLAST2AHRR","Putin ne Israel ko warn kiya ki Iran mein jo hundreds Russian nuclear experts hain, woh wapas nahi jayenge.",yes,
106,hmx-0457,“(Qur’an 98:6) …‘They are the worst of all beings.’”,"Muslims Hur phir kehte hain: rQuran 98!६ ) aDoडre डabडe bure Io9 hain. mLCUm | Muslims ठh humein kyun nahi pasand karte? "" Why do they hate us? ladult suim Com|","Muslims Aur phir kehte hain: ""Quran 98.6) doosre sabse bure log hain;' m com] Muslims ""Woh hhumein kyun Inahi pasand karte?'"" Why do they hate us? [adult swim com]",Muslims Aur phir kehte hain: “(Qur’an 98:6) doosre sabse bure log hain.” Muslims “Woh humein kyun nahi pasand karte?” Why do they hate us?,yes,
107,hmx-0512,Pakistan sirf Pakistanion ke liye ek kabristan ban gaya hai.,"HydEr Ablasi 000+ |8 Pakistan sirf Pakistanion ke liye mbicr Jl Zट७6 elटl६c kabristan ban gaya hai. Jab ek Pakistani ameer ban jaata [AKE ehai, uske bank account Switzerland mein hote hain. - ""oh Dubai se kharidta hai. China ka maal use karta hai. .. Pakistan is just a Cemetery for Pakistanis Fusslan |ESLeht I&|","Hyder Abbasi 800m B Pakistan sirf Pakistanion ke liye Yahj2278 Zkns kabristan ban gaya hai: Jab ek Pakistani ameer ban jaata [FAKE) hai, uske bank account Switzerland mein hote hain _. Woh Dubai se kharidta hai. China ka maal use karta hai .. Pakistan is 'just a Cemetery for Pakistanis ~Russian REsient T8T","Pakistan sirf Pakistanion ke liye ek kabristan ban gaya hai. Jab ek Pakistani ameer ban jaata hai, uske bank account Switzerland mein hote hain... Woh Dubai se kharidta hai. China ka maal use karta hai... Pakistan is just a Cemetery for Pakistanis - Russian President",yes,
108,hmx-0503,"Main us rajya se hoon jahan pariksha dene wale winter ki poori raat khule aasman ke neeche guzar dete hain, aur subah paper leak aur reschedule ka news milti hai… Yeh bahut hi bekaar hai. 😡 #UPTET","a00^ - Main us rajya se hoon jahan pariksha dene ""n8i=010""00* :-i42)|7| cHe wale winter ki poori raat khule aasman ke neeche guzar dete hain aur subah paper leak aur reschedule ka news milti hai.. ieh bahut hi bekaar hai @ #UPTET TSLEADIG",8oom 3 Main US rajya se hoon jahan pariksha dene CRbd 5 0ay3 XhEh che wale winter ki poori raat khule aasman ke neeche guzar dete hain; aur subah paper Ieak aur reschedule ka news milti hai Yeh bahut hi bekaar hai: @ #UPTET ~MSLEADing,"Main us rajya se hoon jahan pariksha dene wale winter ki poori raat khule aasman ke neeche guzar dete hain, aur subah paper leak aur reschedule ka news milti hai... Yeh bahut hi bekaar hai. #UPTET",yes,
109,hmx-0071,Ek 25-saal ki pehle state level tennis player ko uske father ne Gurugram mein goli maar di. Reportedly iska reason yeh tha ki usne ek Muslim ladke ke saath music video film kiya tha.,१२ INDIAINLASTZAHR UULI Ek २५ saal ki pehle state level tennis player ko uske father ne Gurugram mein goli maar di. Reportedly iska reason yeh tha ki usne ek Muslim ladke ke saath music video film kiya tha.,12 INDIAINLAST24HR JULY Ek 25-saal ki pehle state level tennis player ko uske father ne Gurugram mein goli maar di. Reportedly iska reason yeh tha ki usne ek Muslim ladke ke saath music video film kiya tha.,Ek 25-saal ki pehle state level tennis player ko uske father ne Gurugram mein goli maar di. Reportedly iska reason yeh tha ki usne ek Muslim ladke ke saath music video film kiya tha.,yes,
110,hmx-0116,Guru Nanak Dev ji ke 555th Prakash Utsav par poore India mein Gurpurab celebrate kiya gaya.,"श्ै "" Guru Nanak Dev ji ke 5५५th Prakash Utsav par poore India mein Gurpurab celebrate kiya alVa 00 *",8 1 Guru Nanak Dev ji ke 555th Prakash Utsav par poore India mein Gurpurab celebrate kiya alva W,Guru Nanak Dev ji ke 555th Prakash Utsav par poore India mein Gurpurab celebrate kiya,yes,Source image/caption is visibly truncated; gold transcription follows only the visible claim-bearing text.
111,hmx-0415,"Internet bhar raha hai kyunki Indians laakhon 'Good Morning!' texts bhej rahe hain Desh, jo haal hi mein online hua hai, smartphones se khushnuma greetings bhej kar pagal ho gaya hai, jiski vajah se Silicon Valley waale pareshan hain","WilndianD arallicmta ख h0- eप८ Good morning HTrolr 03] Internet bhar raha hai kyunki Indians laakhon 'GDDd Morning! texts bhej rahe hhain Desh. jo haal hi mein online hua hai, smartphones se pagal ho gaya hai fjiski vajah khushnuma greetings bhej kar 5< Sillicon Valley waale pareshan hain 70,""7 GOOD -paIE:=ad --RL-l IORNING","[/IndianDor Ncnc 4YAO Good morning HZwodr WST Internet bhar raha hai kyunki Indians laakhon 'Good Morning!' texts bhej rahe hain Desh, jo haal hi mein online hua hai, smartphones se pagal ho gaya hai, jiski vajah khushnuma greetings bhej kar se Silicon Valley waale pareshan hain Caici GOOD FpLCe<ETA4 +C AEAI MORNING","Good morning Internet bhar raha hai kyunki Indians laakhon 'Good Morning!' texts bhej rahe hain Desh, jo haal hi mein online hua hai, smartphones se khushnuma greetings bhej kar pagal ho gaya hai, jiski vajah se Silicon Valley waale pareshan hain NHI MERI STORAGE SPACE KHATAM HO RAHI HAI GOOD MORNING",yes,
112,hmx-0468,AIMIM chief Owaisi ne Lok Sabha MP ke roop mein shapath lete hue ‘…Jai Allu Arjun’ kaha.,Bl Onlowtcr AIMIM chief Owaisi ne Lok Sabha MP ke roop mein shapath lete hue ...Jai Allu Arjun' kaha.,BN Onlytorsa AIMIM chief Owaisi ne Lok Sabha MP ke roop mein shapath lete hue JJai Allu Arjun' kaha.,AIMIM chief Owaisi ne Lok Sabha MP ke roop mein shapath lete hue ‘...Jai Allu Arjun’ kaha.,yes,
113,hmx-0232,"Telegram ke CEO ko France mein arrest kiya gaya, aur India mein ban lagne ke chances hain: Indian government ne investigation shuru kiya. Investigation mein extortion, exam/movie leaks, financial fraud, child porn jaise cases shaamil hain.","alva Telegram ke CEO ko France mein arrest kiya gaya aur India mein ban lagne ke chances hain: Indian government ne investigation shuru kiya. Investigation mein extortion examlmovie leaks, financial fraud, child porn jaise cases shaamil hain. Telegram &","alia Telegram ke CEO ko France mein arrest kiya gaya, aur India mein ban lagne ke chances hain: Indian government ne investigation shuru kiya: Investigation mein extortion, exam/movie leaks, financial fraud, child porn jaise cases shaamil hain: Telegram 1 8","Telegram ke CEO ko France mein arrest kiya gaya, aur India mein ban lagne ke chances hain: Indian government ne investigation shuru kiya. Investigation mein extortion, exam/movie leaks, financial fraud, child porn jaise cases shaamil hain.",yes,
114,hmx-0475,"Badhai ho @ArvindKejriwal ji, Dilli ko liquor capital banane ke liye.","9|07/4"" ao lua Olo LaO UlEuld ILTUau luilluri 71147| 5^79030+3117777",abl WutIlt Catlku> MDIv*Iullutt Fe etctUf,CBI ne NDTV ke malik Prannoy Rai par chhapa maara aur kai raaz khole. NDTV ka full form Nawajud Din Trafficking Venture,no,Metadata/image mismatch; image content is unrelated to the associated reference claim.
115,hmx-0547,"Uttan beach (Bhayandar, Mumbai) par ek suitcase mein ek #Hindu mahila ki sir-kati laash mili.","eo% Gcnee 8 CALsa 7 The RIGIT Indian o1 2c:7 +@0 / BELNN-NDN - Uitall JTati IBllajatuar lilnad |-ai - sulttas- Wltiricr Tlintu mahalla Li Shrrou laashn molll "" Ust< Iaञir cal Jrl aath Jacs loratoou m alarai hmkal Pollcr lomatla ssoedelar document Tlalli mllo Mahiila KI DUL , Hus>071 |m1=|7 cadl h-ltnl =Jt Lskalslt alulIrulla +","Gool ""orchg B GAS 7 The RICHT Indian A 0 1 DRDILCNCS Uiteh Dcach (Bhayandar. Mumibai| Parer suiicass Micin ek #Hindu mahlla ki slt-kati ieash mIli . 1 Uske haath kul Dhl ""Rath Racetkora dooument Nan rmbanshilc i 883y aissoriielar ducument Hahlmlla Mahlla kI budy husson reln Kau hul I J0/ Uske zht nal milla . 2","BREAKING NEWS Uttan beach (Bhayandar, Mumbai) par ek suitcase mein ek #Hindu mahila ki sir-kati laash mili. Uske haath par ek tattoo ke alawa, Mumbai Police ko mahila ki body par koi bhi identification document nahi mila. Mahila ki body 3 hisson mein kati hui thi aur uska sir nahi mila.",yes,
116,hmx-0559,taxpayers ke liye khush khabri,"eoon Scicc 8 Anil Pandya ६d Tar pajrrs KE Lly- Ahushknabn साार + / *-< "" O-5L Tax pionr ७l=२",Go04 Grcu9 B Anil Pandya 6d Tax payFrs ke lly- khushkhabr FFALSE { 1 42 1 0-5L Tax Biivor tife,Taxpayers ke liye khushkhabri,yes,
117,hmx-0607,"""Shabaash mere Sanatani bachcho, Karnataka ke bachcho ko dekhkar ab lagta hai ki nai peedhi Sanatan dharm ki raksha ke liye zyada sachchet hai. Humse zyada sachchet hai, hamari bhoomika keval itni hi hai ki hum dharm raksha ke liye bachchon ko rokein nahi, balki prerit karein!""","80% +1तन फत२ caaranaia [ai C B STabaash mere Sanatan -achcno Kamataka re bachcho <० deshkar ab lagta ha Eanatan dhamn rla shia rel Ziaa sachche- nal d nal peedhi Humse Zyada secacret ha , hanlari bhoamika keval itri hi hai ki nllrri diari raksre re liye patht hnri kD ioktiri riahi IKEI Culki prcrit arcirl ""","Boom JTTz*h7 Garanolng Ra) B 'Snabaash mere Sanatani Dachcho; Kamataka ke bachcho k0 dexhkar ab lagta ha Sanatan dhamkI raksha ke Ilye zvada sachcher nal Jnal peedhi Humnse zyada secnchet ha , hamari bhoomika keval itni hi hai ki Hurrt dharn raksha * liye bachchon ko tokeiri nahi; FAKE| balki prcrit karcini""","""Shabaash mere Sanatani bachcho, Karnataka ke bachcho ko dekhkar ab lagta hai ki nai peedhi Sanatan dharm ki raksha ke liye zyada sachchet hai. Humse zyada sachchet hai, hamari bhoomika keval itni hi hai ki hum dharm raksha ke liye bachchon ko rokein nahi, balki prerit karein!""",yes,
118,hmx-0266,"Ek Youtüber ne Chennai airport par ek 'souvenir shop' khola taaki gold ki smuggling kar sake, aur sirf do mahine mein 23 crore kama liye. Total milaakar 267 kg se zyada sona, jiska value 7167 crore tha, us shop ke zariye smuggle kiya gaya.","EK Tou uber ne Chennai arport par ek ' डoणvenir shop ' khola taaki gold ki smuggling kar sake, aur sirf do mahine mein =३ crore kama liye. Total milaakar २६७ kg se zyada sona, jiska value र१६७ crore tha, us shop ke zariye smuggle kiya gaya alva","Ek You luber ne Chennai airport par ek ""souvenir shop' khola taaki gold ki smuggling kar sake, aur sirf do mahine mein {3 crore kama liye: Total milaakar 267 kg se zyada sona, jiska value {167 crore tha, US shop ke zariye smuggle kiya gaya_ ania","Ek YouTuber ne Chennai airport par ek ‘souvenir shop’ khola taaki gold ki smuggling kar sake, aur sirf do mahine mein ₹3 crore kama liye. Total milaakar 267 kg se zyada sona, jiska value ₹167 crore tha, us shop ke zariye smuggle kiya gaya.",yes,
119,hmx-0600,"Shiv Bhagwan ke taandav ki tarah, ek din ki baarish mein Chennai ne aise naacha jaise tair raha ho.",द००# #l-4{1157 3 3hso40143!| CYcHEC Shiv Bhagwan ke taandav ki tarah ek din ki baarish mein Chennai ne aise naacha jaise tair raha ho. IIKE Za-o lUI* IDY फ U२I Iwitec/ Odi anJiod,"3o04 3RSIaR 3 Imu3r 'GGhes Shiv Bhagwan ke taandav ki tarah, ek din ki baarish mein Chennai ne aise naacha jaise tair raha ho: FAKE] {cui-t8 ( 2uzi Iwilet Ioi +njod","Shiv Bhagwan ke taandav ki tarah, ek din ki baarish mein Chennai ne aise naacha jaise tair raha ho.",yes,
120,hmx-0610,Maharashtra ke Isaai school mein ek Muslim teacher ne zabran ladkiyon ko school mein namaaz padhwai thi. Phir Raj Thackeray ki MNS ke karyakarta ne usi Muslim ke paas se kesariya khaas pehnwaya. Jai Shri Ram,80%^ Nitin Singh 8 @nitin Einghon XcHEct Faharashtra ke Isaai school mein ex Muslim teacher ne zabran ladlkiyon ko school mein namaaz padhwai thi. Phir Raj Thackeray ki MNS ke karyakarta ne usi Miuslim ke paas se kesariya khaas pehnwaya. Jai Shri Ram [Itः B:१४ Pll - Apr 7 २०२२ Twilter fur Andraid,"Goom Nitin Singh B Snitin_F ngho1 YcHEcy Maharashtra ke Isaai school mein ek Muslim teacher ne zabran Iadkiyon ko school mein namaaz padhwai thi. Phir Raj Thackeray ki MNS ke karyakarta ne usi Muslim ke paas se kesariya khaas pchnwaya. Jai Shri Ram FAKE] 8214 PM . Apr 7, 2022 Twiller Tur Aridro d",Maharashtra ke Isaai school mein ek Muslim teacher ne zabran ladkiyon ko school mein namaaz padhwai thi. Phir Raj Thackeray ki MNS ke karyakarta ne usi Muslim ke paas se kesariya khaas pehnwaya. Jai Shri Ram,yes,
